learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,0.171875,2.4010660126805305E-10,100000.0,73.386,43.79400244667785,45.17551087673038,36.90673747095916,100000.0,5400.0
200000.0,0.3125,4.3655745685100555E-10,200000.0,73.431,43.91951006490801,45.42111750205424,36.99400033199745,200000.0,5400.0
300000.0,0.453125,6.330083124339581E-10,300000.0,73.50533333333334,44.10864555500146,45.67351067610794,37.17027516263922,300000.0,5400.0
400000.0,0.578125,8.076312951743603E-10,400000.0,73.55475,44.228528777252826,45.81252273158038,37.292667022348695,400000.0,5400.0
500000.0,0.71875,1.0040821507573128E-9,500000.0,73.6384,44.36545290236252,45.87962848907394,37.38188555547639,500000.0,5400.0
600000.0,0.84375,1.178705133497715E-9,600000.0,73.63816666666668,44.386863524156325,45.93091424957698,37.44720398639564,600000.0,5400.0
700000.0,0.984375,1.3751559890806675E-9,700000.0,73.64699999999999,44.42162902851021,45.946524064171115,37.493943244387964,700000.0,5400.0
800000.0,1.125,1.57160684466362E-9,800000.0,73.63225,44.37950482543395,45.90162673143159,37.43192738921517,800000.0,5400.0
900000.0,1.25,1.7462298274040222E-9,900000.0,73.60955555555554,44.33896592481321,45.85514197654695,37.38756788105656,900000.0,5400.0
1000000.0,1.375,1.9208528101444244E-9,1000000.0,73.62610000000001,44.38063721522778,45.91167495201064,37.43752386961793,1000000.0,5400.0
1100000.0,1.515625,2.117303665727377E-9,1100000.0,73.6179090909091,44.3728980593249,45.926250279496166,37.44209357721037,1100000.0,5400.0
1200000.0,1.640625,2.291926648467779E-9,1200000.0,73.62941666666667,44.3986053273443,45.98073758458461,37.45624662770451,1200000.0,5400.0
1300000.0,1.78125,2.4883775040507317E-9,1300000.0,73.60546153846154,44.3340189861058,45.9250200538025,37.354353422306595,1300000.0,5400.0
1400000.0,1.90625,2.663000486791134E-9,1400000.0,73.59542857142857,44.320911707944035,45.892271662763456,37.353473009546164,1400000.0,5400.0
1500000.0,2.03125,2.837623469531536E-9,1500000.0,73.5908,44.3170542336252,45.87812885535231,37.35690802738258,1500000.0,5400.0
1600000.0,2.140625,2.990418579429388E-9,1600000.0,73.6143125,44.37677302334397,45.944606701434196,37.435942274690206,1600000.0,5400.0
1700000.0,2.28125,3.1868694350123405E-9,1700000.0,73.62676470588235,44.414187299558066,45.960588817387304,37.492070529416765,1700000.0,5400.0
