learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1100000.0,3.625,1.683799621079945E-6,1100000.0,94.66536363636364,89.05664128268091,89.06592382797942,87.3503702346436,1100000.0,3160984.0,1209.0,773.0,773.0,9.0,3984.0666666666666,0.0,1.017491898283719
1200000.0,3.90625,1.922288631451213E-6,1200000.0,94.86291666666666,89.46175223715282,89.47685574014515,87.81625461250965,1200000.0,3277768.0,1257.0,803.0,803.0,9.0,3984.0666666666666,0.0,1.017491898283719
1300000.0,4.234375,2.2202947810809647E-6,1300000.0,95.03,89.80296256904323,89.81786892298868,88.20404213754954,1300000.0,3510656.0,1338.0,857.0,857.0,9.0,3984.0666666666666,0.0,1.017491898283719
1400000.0,4.53125,2.4949698773626653E-6,1400000.0,95.18835714285714,90.1288588864862,90.14007611241217,88.58407094643258,1400000.0,3576416.0,1367.0,873.0,873.0,9.0,3984.0666666666666,0.0,1.017491898283719
1500000.0,4.828125,2.778087639146381E-6,1500000.0,95.3256,90.41138980335344,90.42048700912784,88.91224008615168,1500000.0,3686344.0,1404.0,896.0,896.0,9.0,3984.0666666666666,0.0,1.017491898283719
1600000.0,5.109375,3.0506397726842103E-6,1600000.0,95.4503125,90.66818814522686,90.6792215591097,89.21207145418816,1600000.0,3745928.0,1434.0,911.0,911.0,9.0,3984.0666666666666,0.0,1.017491898283719
1700000.0,5.421875,3.3665017043757774E-6,1700000.0,95.56623529411765,90.90717521270034,90.9151064950468,89.49141247049542,1700000.0,3907056.0,1503.0,956.0,956.0,9.0,3984.0666666666666,0.0,1.017491898283719
1800000.0,5.734375,3.695270214747224E-6,1800000.0,95.67716666666666,91.1351760086267,91.14265257128417,89.75572571344313,1800000.0,4066704.0,1568.0,996.0,996.0,9.0,3984.0666666666666,0.0,1.017491898283719
1900000.0,6.0625,4.0534986894474266E-6,1900000.0,95.78142105263157,91.34932103256659,91.35840935995326,90.00371650777971,1900000.0,4220104.0,1634.0,1038.0,1038.0,9.0,3984.0666666666666,0.0,1.017491898283719
2000000.0,6.46875,4.521899099927396E-6,2000000.0,95.8766,91.54403821070528,91.55177747864587,90.22709200645144,2000000.0,4456832.0,1745.0,1110.0,1110.0,9.0,3944.0864864864866,0.0,1.0180212776066164
2100000.0,6.796875,4.918259122253706E-6,2100000.0,95.96395238095238,91.7236820213247,91.7300965474175,90.43552837225573,2100000.0,4669312.0,1826.0,1158.0,1158.0,9.0,3944.0864864864866,0.0,1.0180212776066164
2200000.0,7.140625,5.3491334417938366E-6,2200000.0,96.04322727272728,91.88630758957,91.89049197005083,90.62327651580435,2200000.0,4845184.0,1886.0,1197.0,1197.0,9.0,3944.0864864864866,0.0,1.0180212776066164
2300000.0,7.46875,5.772453991489279E-6,2300000.0,96.11947826086956,92.04307938498079,92.04796949339796,90.80524660960724,2300000.0,4986920.0,1937.0,1227.0,1227.0,9.0,3944.0864864864866,0.0,1.0180212776066164
2400000.0,7.78125,6.184174239428508E-6,2400000.0,96.19391666666667,92.19577583848555,92.20083536254256,90.98137946014256,2400000.0,5092776.0,2002.0,1264.0,1264.0,9.0,3944.0864864864866,0.0,1.0180212776066164
2500000.0,8.109375,6.628759793885467E-6,2500000.0,96.26276,92.336496448063,92.34238036890268,91.14221788223249,2500000.0,5237432.0,2071.0,1309.0,1309.0,9.0,3944.0864864864866,0.0,1.0180212776066164
2600000.0,8.46875,7.131649504622653E-6,2600000.0,96.32696153846155,92.46759299493871,92.47179257561199,91.29164098205787,2600000.0,5409128.0,2153.0,1356.0,1356.0,9.0,3944.0864864864866,0.0,1.0180212776066164
2700000.0,8.828125,7.660364952041872E-6,2700000.0,96.38681481481481,92.59085105811278,92.59323372206025,91.43517603998487,2700000.0,5686912.0,2247.0,1418.0,1418.0,9.0,3944.0864864864866,0.0,1.0180212776066164
2800000.0,9.171875,8.182299789041282E-6,2800000.0,96.44410714285713,92.70844233228114,92.7113126372142,91.57115271142806,2800000.0,5869160.0,2323.0,1468.0,1468.0,9.0,3944.0864864864866,0.0,1.0180212776066164
2900000.0,9.53125,8.745382365304978E-6,2900000.0,96.50058620689656,92.82424451568184,92.8268145367926,91.70482541249864,2900000.0,6056568.0,2395.0,1516.0,1516.0,9.0,3944.0864864864866,0.0,1.0180212776066164
3000000.0,10.03125,9.555028680349805E-6,3000000.0,96.5549,92.93581991139231,92.93776392931818,91.8341854451247,3000000.0,6259328.0,2463.0,1559.0,1559.0,9.0,3942.88646568313,0.0,1.018280255606023
3100000.0,10.390625,1.0149248215990763E-5,3100000.0,96.60625806451613,93.0411128700571,93.04373929263095,91.95592834150183,3100000.0,6391480.0,2517.0,1592.0,1592.0,10.0,3942.88646568313,0.0,1.018280255606023
3200000.0,10.734375,1.0727762839653427E-5,3200000.0,96.65478125,93.14063834573079,93.14372199047075,92.07093324879375,3200000.0,6505400.0,2551.0,1612.0,1612.0,10.0,3942.88646568313,0.0,1.018280255606023
3300000.0,11.09375,1.134186320187938E-5,3300000.0,96.70351515151515,93.24043498648402,93.24256666182147,92.1856020090554,3300000.0,6605320.0,2602.0,1645.0,1645.0,10.0,3942.88646568313,0.0,1.018280255606023
3400000.0,11.4375,1.1941850825678559E-5,3400000.0,96.7489705882353,93.33360014942166,93.33474837144992,92.29309861570705,3400000.0,6746864.0,2660.0,1683.0,1683.0,10.0,3942.88646568313,0.0,1.018280255606023
3500000.0,11.796875,1.2584328780778581E-5,3500000.0,96.79231428571428,93.42252646781542,93.42363155607156,92.39604837529869,3500000.0,6910552.0,2707.0,1711.0,1711.0,10.0,3942.88646568313,0.0,1.018280255606023
3600000.0,12.15625,1.3241424684464518E-5,3600000.0,96.83513888888889,93.51030891014187,93.51082061478476,92.49733141137884,3600000.0,7067784.0,2765.0,1749.0,1749.0,10.0,3942.88646568313,0.0,1.018280255606023
3700000.0,12.515625,1.3906532419948943E-5,3700000.0,96.87435135135135,93.59057422423153,93.59155729551959,92.58955249224508,3700000.0,7153960.0,2815.0,1777.0,1777.0,10.0,3942.88646568313,0.0,1.018280255606023
3800000.0,12.875,1.4584142837621686E-5,3800000.0,96.91447368421052,93.67283159948296,93.67354977257153,92.68454445457273,3800000.0,7288440.0,2871.0,1811.0,1811.0,10.0,3942.88646568313,0.0,1.018280255606023
3900000.0,13.25,1.5301430410343327E-5,3900000.0,96.95189743589744,93.74961270324775,93.75100863523177,92.77324503037492,3900000.0,7393744.0,2900.0,1827.0,1827.0,10.0,3942.88646568313,0.0,1.018280255606023
4000000.0,13.75,1.6272365238465783E-5,4000000.0,96.987575,93.82254011212123,93.82491955540364,92.85678293505202,4000000.0,7506240.0,2949.0,1856.0,1856.0,10.0,3971.043103448276,0.0,1.0184503767576052
4100000.0,14.109375,1.697870133082486E-5,4100000.0,97.02370731707317,93.89671512434944,93.8988226929717,92.9427195987758,4100000.0,7597416.0,2988.0,1877.0,1877.0,10.0,3971.043103448276,0.0,1.0184503767576052
4200000.0,14.484375,1.7723782673581608E-5,4200000.0,97.05673809523809,93.96437818155341,93.96622036179151,93.02080316346746,4200000.0,7680240.0,3027.0,1898.0,1898.0,10.0,3971.043103448276,0.0,1.0184503767576052
4300000.0,14.84375,1.8444655644189983E-5,4300000.0,97.08853488372094,94.02995138827734,94.03107542482097,93.09754508073348,4300000.0,7753776.0,3060.0,1919.0,1919.0,10.0,3971.043103448276,0.0,1.0184503767576052
4400000.0,15.21875,1.9206676968476843E-5,4400000.0,97.12052272727273,94.09580072843804,94.0963056536551,93.1743738269019,4400000.0,7854856.0,3100.0,1945.0,1945.0,10.0,3971.043103448276,0.0,1.0184503767576052
